iter	Passed	Remaining
0	1	1573
1	2	1486
2	4	1367
3	5	1374
4	6	1361
5	7	1244
6	9	1321
7	10	1346
8	12	1367
9	13	1334
10	14	1280
11	15	1243
12	17	1296
13	18	1285
14	18	1245
15	19	1210
16	20	1177
17	21	1163
18	22	1162
19	23	1156
20	24	1155
21	26	1157
22	27	1149
23	28	1156
24	29	1134
25	29	1111
26	30	1088
27	30	1064
28	31	1043
29	31	1023
30	32	1004
31	32	987
32	33	971
33	33	955
34	34	940
35	34	926
36	35	915
37	35	903
38	36	891
39	36	880
40	37	869
41	37	859
42	38	849
43	38	840
44	39	830
45	39	821
46	40	813
47	40	805
48	41	797
49	41	797
50	42	794
51	43	789
52	43	784
53	44	778
54	44	771
55	45	765
56	45	759
57	46	752
58	46	747
59	47	741
60	47	736
61	48	730
62	48	725
63	49	721
64	49	716
65	50	711
66	50	707
67	51	702
68	51	698
69	52	694
70	52	690
71	53	685
72	53	681
73	54	677
74	54	674
75	55	670
76	55	666
77	56	663
78	56	662
79	57	661
80	58	659
81	58	658
82	59	652
83	59	649
84	60	647
85	60	644
86	61	641
87	61	638
88	62	635
89	62	635
90	63	632
91	63	629
92	64	626
93	64	623
94	65	621
95	65	618
96	66	616
97	66	613
98	67	610
99	67	608
100	68	605
101	68	603
102	69	601
103	69	599
104	70	597
105	70	595
106	71	593
107	71	592
108	72	591
109	72	590
110	73	589
111	74	587
112	74	586
113	75	585
114	75	584
115	76	582
116	77	582
117	77	581
118	78	580
119	78	579
120	79	577
121	79	574
122	80	572
123	80	571
124	81	569
125	81	567
126	82	565
127	82	563
128	83	562
129	83	560
130	84	558
131	84	557
132	85	555
133	85	553
134	86	553
135	86	552
136	87	551
137	88	550
138	88	549
139	89	548
140	89	546
141	90	544
142	90	542
143	91	541
144	91	539
145	91	538
146	92	536
147	92	535
148	93	533
149	93	532
150	94	530
151	94	529
152	95	528
153	95	526
154	96	525
155	96	524
156	97	522
157	97	521
158	98	520
159	98	519
160	99	517
161	99	515
162	100	514
163	100	513
164	101	513
165	102	513
166	102	512
167	103	511
168	103	510
169	104	509
170	104	508
171	105	507
172	105	505
173	106	504
174	106	503
175	107	502
176	107	501
177	108	499
178	108	498
179	109	497
180	109	496
181	110	495
182	110	494
183	111	492
184	111	491
185	112	490
186	112	489
187	113	488
188	113	487
189	114	486
190	114	485
191	115	484
192	115	483
193	116	483
194	117	483
195	117	482
196	118	482
197	118	481
198	119	480
199	119	479
200	120	478
201	120	477
202	121	476
203	121	475
204	122	474
205	122	473
206	123	472
207	123	471
208	124	470
209	124	469
210	125	468
211	125	467
212	126	466
213	126	465
214	127	464
215	127	463
216	128	462
217	128	461
218	129	460
219	129	459
220	130	458
221	130	458
222	131	459
223	132	458
224	132	458
225	133	457
226	134	456
227	134	455
228	134	454
229	135	453
230	135	452
231	136	451
232	136	450
233	137	449
234	137	448
235	138	447
236	138	446
237	139	445
238	139	444
239	140	443
240	140	443
241	141	442
242	141	441
243	142	440
244	142	439
245	143	438
246	143	437
247	144	436
248	144	436
249	145	435
250	145	434
251	146	434
252	146	433
253	147	432
254	147	432
255	148	431
256	149	431
257	149	431
258	150	430
259	151	430
260	151	429
261	152	428
262	152	427
263	153	427
264	153	426
265	154	425
266	154	424
267	155	423
268	155	422
269	156	421
270	156	420
271	156	420
272	157	419
273	157	418
274	158	417
275	158	416
276	159	416
277	160	415
278	160	415
279	161	414
280	161	414
281	162	413
282	163	413
283	163	412
284	164	412
285	165	412
286	165	411
287	166	411
288	166	410
289	167	409
290	167	408
291	168	408
292	168	407
293	169	406
294	169	405
295	170	404
296	170	404
297	171	403
298	171	402
299	172	401
300	172	400
301	173	400
302	173	400
303	174	399
304	175	398
305	175	398
306	176	397
307	176	397
308	177	396
309	177	396
310	178	395
311	178	394
312	179	393
313	179	392
314	180	392
315	180	391
316	181	390
317	181	389
318	182	389
319	182	388
320	183	387
321	183	386
322	184	386
323	184	385
324	185	384
325	185	383
326	186	383
327	186	382
328	187	382
329	187	381
330	188	381
331	189	380
332	189	380
333	190	380
334	191	380
335	192	380
336	192	379
337	193	378
338	193	378
339	194	377
340	194	376
341	195	375
342	195	375
343	196	374
344	196	373
345	197	372
346	197	372
347	198	371
348	198	370
349	199	369
350	199	369
351	200	368
352	200	367
353	201	367
354	201	366
355	202	365
356	202	365
357	203	364
358	203	363
359	204	362
360	204	362
361	205	361
362	205	361
363	206	361
364	207	360
365	207	360
366	208	359
367	208	358
368	209	358
369	209	357
370	210	356
371	210	355
372	211	355
373	211	354
374	212	353
375	212	353
376	213	352
377	213	351
378	214	351
379	214	350
380	215	349
381	215	349
382	216	348
383	216	347
384	217	346
385	217	346
386	218	345
387	218	344
388	219	344
389	219	343
390	220	343
391	221	342
392	221	342
393	222	341
394	222	341
395	223	340
396	223	339
397	224	339
398	224	338
399	225	337
400	225	337
401	226	336
402	226	335
403	227	335
404	227	334
405	228	334
406	228	333
407	229	332
408	229	332
409	230	331
410	230	330
411	231	330
412	231	329
413	232	328
414	232	328
415	233	327
416	233	326
417	234	326
418	234	325
419	235	324
420	235	324
421	236	323
422	237	323
423	237	322
424	238	322
425	238	321
426	239	320
427	239	320
428	240	319
429	240	318
430	241	318
431	241	317
432	242	316
433	242	316
434	243	315
435	243	314
436	243	314
437	244	313
438	244	313
439	245	312
440	245	311
441	246	311
442	246	310
443	247	309
444	247	309
445	248	308
446	248	307
447	249	307
448	250	306
449	250	306
450	251	306
451	251	305
452	252	304
453	252	304
454	253	303
455	253	302
456	254	302
457	254	301
458	255	301
459	255	300
460	256	299
461	256	299
462	257	298
463	257	297
464	258	297
465	258	296
466	259	296
467	259	295
468	260	294
469	260	294
470	261	293
471	261	292
472	262	292
473	262	291
474	263	290
475	263	290
476	264	289
477	264	289
478	265	288
479	266	288
480	266	287
481	267	287
482	267	286
483	268	286
484	269	285
485	269	285
486	270	285
487	271	284
488	271	283
489	272	283
490	272	282
491	273	281
492	273	281
493	273	280
494	274	280
495	275	279
496	275	278
497	275	278
498	276	277
499	276	276
500	277	276
501	277	275
502	278	275
503	278	274
504	279	273
505	280	273
506	280	273
507	281	272
508	282	272
509	282	271
510	283	270
511	283	270
512	283	269
513	284	268
514	284	268
515	285	267
516	285	267
517	286	266
518	286	265
519	287	265
520	287	264
521	288	264
522	288	263
523	289	262
524	289	262
525	290	261
526	290	260
527	291	260
528	291	259
529	292	259
530	292	258
531	293	257
532	293	257
533	294	256
534	294	256
535	295	255
536	296	255
537	296	254
538	297	254
539	297	253
540	298	253
541	299	252
542	299	252
543	300	251
544	300	251
545	301	250
546	301	249
547	302	249
548	302	248
549	303	248
550	303	247
551	304	246
552	304	246
553	305	245
554	305	245
555	306	244
556	306	243
557	307	243
558	307	242
559	308	242
560	308	241
561	309	241
562	309	240
563	310	240
564	311	239
565	311	239
566	312	238
567	313	238
568	314	238
569	314	237
570	315	237
571	316	236
572	316	236
573	317	235
574	317	234
575	318	234
576	318	233
577	319	233
578	319	232
579	320	231
580	320	231
581	321	230
582	321	230
583	322	229
584	322	228
585	323	228
586	323	227
587	323	227
588	324	226
589	325	226
590	325	225
591	326	225
592	327	224
593	327	223
594	328	223
595	328	222
596	329	222
597	329	221
598	330	220
599	330	220
600	331	219
601	331	219
602	332	218
603	332	217
604	332	217
605	333	216
606	333	216
607	334	215
608	334	215
609	335	214
610	335	213
611	336	213
612	336	212
613	337	212
614	337	211
615	338	210
616	338	210
617	339	209
618	340	209
619	341	209
620	341	208
621	342	208
622	342	207
623	343	206
624	343	206
625	344	205
626	344	205
627	345	204
628	345	204
629	346	203
630	346	202
631	347	202
632	347	201
633	348	201
634	348	200
635	349	199
636	349	199
637	350	198
638	350	198
639	351	197
640	351	197
641	352	196
642	352	195
643	353	195
644	353	194
645	354	194
646	355	193
647	355	193
648	356	192
649	356	192
650	357	191
651	358	191
652	358	190
653	359	190
654	360	189
655	360	189
656	361	188
657	361	187
658	362	187
659	362	186
660	363	186
661	363	185
662	364	185
663	364	184
664	365	183
665	365	183
666	365	182
667	366	182
668	366	181
669	367	180
670	367	180
671	368	179
672	369	179
673	370	178
674	370	178
675	371	178
676	372	177
677	372	176
678	373	176
679	373	175
680	374	175
681	374	174
682	375	174
683	375	173
684	376	172
685	376	172
686	376	171
687	377	171
688	378	170
689	378	170
690	379	169
691	379	168
692	380	168
693	380	167
694	380	167
695	381	166
696	381	166
697	382	165
698	382	164
699	383	164
700	384	163
701	384	163
702	385	162
703	386	162
704	386	161
705	387	161
706	387	160
707	388	160
708	388	159
709	389	158
710	389	158
711	390	157
712	390	157
713	391	156
714	391	156
715	392	155
716	392	154
717	393	154
718	393	153
719	394	153
720	394	152
721	395	152
722	395	151
723	396	151
724	396	150
725	397	149
726	397	149
727	398	148
728	399	148
729	399	147
730	400	147
731	401	146
732	401	146
733	402	145
734	402	145
735	403	144
736	403	143
737	403	143
738	404	142
739	404	142
740	405	141
741	405	141
742	406	140
743	406	140
744	407	139
745	407	138
746	408	138
747	408	137
748	409	137
749	409	136
750	410	136
751	410	135
752	411	134
753	411	134
754	412	133
755	412	133
756	413	132
757	414	132
758	414	131
759	415	131
760	416	130
761	416	130
762	416	129
763	417	128
764	417	128
765	418	127
766	418	127
767	419	126
768	419	126
769	420	125
770	420	124
771	421	124
772	421	123
773	422	123
774	422	122
775	423	122
776	423	121
777	424	121
778	424	120
779	425	119
780	425	119
781	426	118
782	426	118
783	427	117
784	427	117
785	427	116
786	428	115
787	429	115
788	429	114
789	430	114
790	431	113
791	431	113
792	432	112
793	432	112
794	433	111
795	433	111
796	434	110
797	434	110
798	435	109
799	435	108
800	436	108
801	436	107
802	437	107
803	437	106
804	437	106
805	438	105
806	438	104
807	439	104
808	439	103
809	440	103
810	441	102
811	441	102
812	442	101
813	442	101
814	443	100
815	443	100
816	444	99
817	445	99
818	445	98
819	446	97
820	447	97
821	447	96
822	448	96
823	449	95
824	449	95
825	450	94
826	450	94
827	451	93
828	451	93
829	452	92
830	452	92
831	453	91
832	453	90
833	454	90
834	454	89
835	455	89
836	455	88
837	456	88
838	456	87
839	456	87
840	457	86
841	457	85
842	458	85
843	459	84
844	459	84
845	460	83
846	461	83
847	461	82
848	462	82
849	462	81
850	463	81
851	463	80
852	464	79
853	464	79
854	465	78
855	465	78
856	466	77
857	466	77
858	466	76
859	467	76
860	468	75
861	468	75
862	469	74
863	469	73
864	469	73
865	470	72
866	470	72
867	471	71
868	471	71
869	472	70
870	472	70
871	473	69
872	473	68
873	474	68
874	475	67
875	476	67
876	476	66
877	477	66
878	477	65
879	478	65
880	478	64
881	478	64
882	479	63
883	479	62
884	480	62
885	480	61
886	481	61
887	481	60
888	482	60
889	483	59
890	483	59
891	484	58
892	484	58
893	485	57
894	485	57
895	486	56
896	486	55
897	487	55
898	488	54
899	488	54
900	490	53
901	491	53
902	492	52
903	493	52
904	494	51
905	494	51
906	495	50
907	496	50
908	497	49
909	498	49
910	498	48
911	499	48
912	500	47
913	501	47
914	501	46
915	503	46
916	504	45
917	505	45
918	505	44
919	506	44
920	506	43
921	507	42
922	507	42
923	508	41
924	508	41
925	509	40
926	509	40
927	510	39
928	511	39
929	511	38
930	512	37
931	512	37
932	513	36
933	513	36
934	514	35
935	514	35
936	515	34
937	515	34
938	516	33
939	516	32
940	517	32
941	517	31
942	518	31
943	518	30
944	519	30
945	520	29
946	521	29
947	521	28
948	522	28
949	522	27
950	523	26
951	523	26
952	523	25
953	524	25
954	524	24
955	525	24
956	525	23
957	526	23
958	526	22
959	527	21
960	527	21
961	528	20
962	528	20
963	529	19
964	529	19
965	530	18
966	530	18
967	531	17
968	531	17
969	532	16
970	532	15
971	533	15
972	534	14
973	534	14
974	535	13
975	536	13
976	536	12
977	536	12
978	537	11
979	537	10
980	538	10
981	539	9
982	539	9
983	539	8
984	540	8
985	540	7
986	541	7
987	541	6
988	542	6
989	542	5
990	543	4
991	543	4
992	544	3
993	544	3
994	545	2
995	545	2
996	546	1
997	546	1
998	547	0
999	547	0
